# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  131       5.130821328408e-10       1.491063531654e-13      -5.699511504618e-12       0.000000000000e+00       4.628336586790e-12       9.269866491792e-13      -5.086385513646e-15 
  132       5.178243779020e-10       1.495248145824e-13      -5.752230384276e-12       0.000000000000e+00       4.530534317479e-12       9.115326004558e-13      -5.032680389869e-15 
  133       5.225625063648e-10       1.498749987138e-13      -5.802528649485e-12       0.000000000000e+00       4.435351130840e-12       8.964410406848e-13      -4.978320585311e-15 
  134       5.272954055515e-10       1.501566500551e-13      -5.850340089142e-12       0.000000000000e+00       4.342761145013e-12       8.817067592915e-13      -4.923258152984e-15 
  135       5.320218984043e-10       1.503695947832e-13      -5.895599360850e-12       0.000000000000e+00       4.252725849191e-12       8.673225108060e-13      -4.867439433689e-15 
  136       5.367407419163e-10       1.505137426327e-13      -5.938242032443e-12       0.000000000000e+00       4.165193780112e-12       8.532789628105e-13      -4.810804916102e-15 
  137       5.414506255624e-10       1.505890887734e-13      -5.978204623521e-12       0.000000000000e+00       4.080100198554e-12       8.395646438857e-13      -4.753289096860e-15 
  138       5.461501697310e-10       1.505957156867e-13      -6.015424646981e-12       0.000000000000e+00       3.997366765831e-12       8.261658915584e-13      -4.694820340638e-15 
  139       5.508379241544e-10       1.505337950433e-13      -6.049840650541e-12       0.000000000000e+00       3.916901220285e-12       8.130668002478e-13      -4.635320740234e-15 
  140       5.555123663403e-10       1.504035895792e-13      -6.081392258279e-12       0.000000000000e+00       3.838597053782e-12       8.002491692134e-13      -4.574705976656e-15 
  141       5.601719000029e-10       1.502054549738e-13      -6.110020212159e-12       0.000000000000e+00       3.762333188207e-12       7.876924505011e-13      -4.512885179199e-15 
  142       5.648148534938e-10       1.499398417258e-13      -6.135666413559e-12       0.000000000000e+00       3.687973651954e-12       7.753736968908e-13      -4.449760785531e-15 
  143       5.694394782332e-10       1.496072970308e-13      -6.158273964809e-12       0.000000000000e+00       3.615367256427e-12       7.632675098430e-13      -4.385228401776e-15 
  144       5.740440844922e-10       1.492084728189e-13      -6.177787666323e-12       0.000000000000e+00       3.544379291924e-12       7.513518871057e-13      -4.319217093716e-15 
  145       5.786274671381e-10       1.487441467980e-13      -6.194155475594e-12       0.000000000000e+00       3.474990820032e-12       7.396265251566e-13      -4.251815032569e-15 
  146       5.831885190748e-10       1.482152070624e-13      -6.207327271656e-12       0.000000000000e+00       3.407208600733e-12       7.280962305861e-13      -4.183156027893e-15 
